cliente,gender,SeniorCitizen,Partner,Dependents,tenure,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,cargo mensual,cargo total,Cuentas_Diarias,Gasto_Diario_Historico,internet_Fiber optic,internet_No,telefono_Yes,cancelacion_Yes
2419-fsors,Male,0,Yes,No,72,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,108.4,7719.5,1.4498350037642527,3.5738425925925927,true,False,true,False
2424-gxjqo,Female,0,No,No,3,No,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,57.55,161.45,-0.23799180130364905,1.7938888888888889,false,False,true,False
2424-wvhpl,Male,1,No,No,1,No,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,0.33125558722957654,2.49,true,False,true,False
2428-hyunx,Male,1,Yes,No,44,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.35,847.25,-1.5059364218266347,0.6418560606060606,false,True,true,False
2428-zmctb,Male,0,No,No,10,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.75,208.25,-1.4926595148054518,0.6941666666666667,false,True,true,False
2429-aykko,Male,0,No,No,72,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.85,1434.1,-1.4893402880501558,0.6639351851851851,false,True,true,False
2430-rryuw,Male,0,No,No,66,No,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,54.8,3465.7,-0.3292705370742827,1.7503535353535353,false,False,true,False
2430-usgxp,Male,0,Yes,No,24,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.05,2391.8,1.2058718372500128,3.3219444444444446,true,False,true,True
2432-tfsmk,Male,0,No,No,18,Yes,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),89.6,1633.0,0.8258203737686464,3.024074074074074,true,False,true,False
2433-kmeas,Male,0,No,No,22,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,54.45,1127.35,-0.34088783071781775,1.7081060606060605,false,False,true,True
2434-eevdb,Female,0,Yes,No,64,Yes,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),94.6,5948.7,0.9917817115334354,3.09828125,true,False,true,False
2436-qbzfp,Female,0,Yes,Yes,22,No phone service,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,39.2,849.9,-0.8470699109004233,1.2877272727272726,false,False,false,False
2439-lypmq,Male,1,Yes,No,38,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.6,4009.2,1.2573198519570972,3.5168421052631578,true,False,true,False
2439-qkjul,Male,0,No,No,5,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.25,109.8,-1.4760633810289727,0.732,false,True,true,False
2446-beggb,Female,1,No,No,6,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.25,560.6,1.112933488101731,3.1144444444444446,true,False,true,True
2446-plqvo,Male,0,No,No,1,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.3,70.3,0.18520960999656222,2.3433333333333333,true,False,true,True
2446-zkvaf,Male,0,Yes,No,18,Yes,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),56.8,1074.65,-0.26288600196836726,1.9900925925925927,false,False,true,False
2450-zkeed,Female,0,No,No,11,No,No,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),53.8,651.55,-0.36246280462724056,1.9743939393939391,false,False,true,False
2451-ymuxs,Male,1,No,No,67,Yes,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),64.55,4250.1,-0.005645928432945013,2.114477611940299,false,False,true,False
2452-kdrrh,Male,1,No,No,67,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),101.4,6841.05,1.2174891308935485,3.403507462686567,true,False,true,False
2452-mrmzf,Female,1,Yes,No,72,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.7,1937.4,-1.295165522865353,0.8969444444444444,false,True,true,False
2452-snhfz,Female,0,No,No,47,No,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),75.45,3545.1,0.35614978789429474,2.514255319148936,true,False,true,False
2453-safns,Female,1,No,No,54,Yes,No,Yes,No,Yes,Yes,No,One year,No,Mailed check,72.1,3886.05,0.2449556915918862,2.3987962962962963,false,False,true,False
2454-rpbrz,Female,1,Yes,No,12,Yes,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,98.1,1060.2,1.1079546479687876,2.9450000000000003,true,False,true,True
2455-uslmv,Female,0,No,No,31,Yes,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),84.75,2613.4,0.6648378761368018,2.8101075268817204,true,False,true,False
2458-eomre,Female,0,No,No,11,No,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),64.05,733.95,-0.022242062209423825,2.224090909090909,false,False,true,False
2460-fpsyh,Female,1,No,No,40,No phone service,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,55.8,2109.35,-0.2960782695213251,1.7577916666666666,false,False,false,True
2460-ngxbj,Male,1,Yes,Yes,11,Yes,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.2,775.3,0.3478517210060554,2.349393939393939,true,False,true,False
2462-xiijb,Male,0,No,No,5,Yes,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,92.5,452.7,0.9220779496722243,3.018,true,False,true,True
2465-blleu,Male,0,No,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.75,19.75,-1.4926595148054518,0.6583333333333333,false,True,true,False
2466-fccpt,Female,0,Yes,Yes,20,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.7,395.6,-1.4943191281830994,0.6593333333333333,false,True,true,False
2466-nejoj,Male,0,Yes,Yes,8,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.65,169.75,-1.4959787415607475,0.7072916666666667,false,True,true,False
2468-sjflm,Male,0,No,No,1,No,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,74.3,74.3,0.31797868020839315,2.4766666666666666,true,False,true,False
2469-dtsgx,Female,1,No,No,72,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,111.65,7943.45,1.557709873311365,3.677523148148148,true,False,true,False
2472-ovkup,Male,0,Yes,No,6,No,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531.0,0.8722895483427874,2.95,true,False,true,True
2474-brucm,Male,1,Yes,No,40,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,101.85,4086.3,1.232425651292379,3.40525,true,False,true,True
2474-lcnue,Female,0,Yes,No,23,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),73.65,1642.75,0.2964037062989708,2.3807971014492755,false,False,true,False
2475-mrozf,Male,0,No,No,30,Yes,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),95.0,2852.4,1.0050586185546184,3.1693333333333333,true,False,true,False
2476-ygefm,Female,0,No,No,29,Yes,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),76.0,2215.25,0.3744055350484213,2.546264367816092,true,False,true,False
2478-eewwm,Male,0,Yes,No,59,No phone service,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,44.3,2666.75,-0.6777893463803392,1.5066384180790962,false,False,false,False
2479-bramr,Male,1,Yes,No,41,Yes,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),83.75,3273.55,0.6316456085838438,2.6614227642276425,true,False,true,True
2480-ejwyp,Female,1,Yes,No,58,Yes,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),97.8,5458.8,1.0979969677029,3.137241379310345,true,False,true,False
2480-jzosn,Female,0,Yes,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.65,20.65,-1.4627864740077896,0.6883333333333332,false,True,true,False
2480-sqiob,Male,0,Yes,Yes,4,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.8,169.65,-0.6611932126038603,1.41375,false,False,true,False
2481-sboyw,Female,0,No,Yes,61,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.0,1498.35,-1.3184001101524232,0.8187704918032787,false,True,true,False
2482-czgbb,Male,0,No,No,10,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.0,740.0,0.1752519297306751,2.466666666666667,true,False,true,True
2483-xssmz,Female,0,No,No,39,No,Yes,No,No,No,No,No,One year,Yes,Electronic check,47.85,1886.4,-0.5599567965673391,1.6123076923076924,false,False,true,False
2484-dgxpz,Female,0,Yes,Yes,31,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.55,658.95,-1.499297968316043,0.7085483870967743,false,True,true,True
2485-itvkb,Female,0,Yes,No,2,No phone service,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.1,68.75,-0.9831582078675501,1.1458333333333333,false,False,false,True
2486-wyvve,Male,0,Yes,No,31,Yes,No,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,79.3,2484.0,0.4839400179731817,2.670967741935484,false,False,true,False
2495-inzwq,Male,0,No,No,4,No phone service,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,44.55,174.3,-0.6694912794920997,1.4525000000000001,false,False,false,True
2495-kznfb,Female,0,No,No,33,Yes,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.65,2989.6,0.8606722546992526,3.0197979797979797,true,False,true,False
2495-tthbq,Female,0,No,Yes,4,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.4,84.75,-1.4710845408960291,0.70625,false,True,true,False
2498-xldzr,Female,0,Yes,Yes,32,No,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,73.6,2316.85,0.29474409292132264,2.4133854166666664,false,False,true,False
2499-ajyua,Female,1,Yes,No,72,Yes,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),110.8,7882.25,1.529496445891351,3.649189814814815,true,False,true,False
2501-xwwtz,Male,0,No,No,11,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.2,760.05,0.1818903832412668,2.303181818181818,true,False,true,False
2504-dshih,Male,1,Yes,No,23,Yes,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,86.8,1975.85,0.7328820246203648,2.863550724637681,true,False,true,False
2506-clakw,Female,0,No,No,6,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),98.15,567.45,1.1096142613464357,3.1525000000000003,true,False,true,True
2506-tnfco,Female,1,Yes,No,1,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,69.55,0.160315409331844,2.3183333333333334,true,False,true,True
2507-qzpqs,Male,0,No,No,15,Yes,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,95.7,1451.1,1.028293205841689,3.2246666666666663,true,False,true,False
2508-qjjfp,Male,0,No,Yes,47,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.55,1013.05,-1.4661057007630853,0.7184751773049645,false,True,true,False
2509-tfpju,Male,0,Yes,No,72,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.75,1864.2,-1.293505909487705,0.8630555555555556,false,True,true,False
2511-allcs,Female,0,Yes,Yes,35,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.3,821.6,-1.3416346974394937,0.7824761904761905,false,True,true,False
2511-morqy,Male,0,Yes,Yes,50,Yes,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),54.9,2614.1,-0.3259513103189871,1.7427333333333332,false,False,true,False
2514-ginmm,Male,0,No,No,1,No,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.5,79.5,0.4905784714837734,2.65,true,False,true,True
2516-vqrrv,Female,1,No,No,2,Yes,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,75.45,158.4,0.35614978789429474,2.64,true,False,true,True
2516-xsjkx,Female,0,Yes,Yes,41,No,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,78.45,3126.45,0.4557265905531681,2.5418292682926826,false,False,true,False
2519-erqoj,Male,1,No,No,33,No phone service,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,54.6,1803.7,-0.3359089905848742,1.821919191919192,false,False,false,False
2519-fakod,Male,0,No,Yes,38,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.25,3777.15,1.1461257556546887,3.3132894736842107,true,False,true,True
2519-lbnql,Male,1,Yes,No,60,Yes,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.35,6339.45,1.3154063201747732,3.5219166666666664,true,False,true,False
2519-twkfs,Male,0,Yes,Yes,25,Yes,No,No,No,Yes,No,No,One year,Yes,Mailed check,55.1,1466.1,-0.3193128568083954,1.9547999999999999,false,False,true,False
2520-sgtta,Female,0,Yes,Yes,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.0,,-1.4843614479172123,,false,True,true,False
2521-npuzr,Male,0,Yes,No,70,No,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),101.0,7085.5,1.204212223872365,3.374047619047619,true,False,true,False
2522-ahjxr,Male,0,Yes,No,60,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.45,6572.85,1.484686884694858,3.6515833333333334,true,False,true,False
2522-wlnsf,Female,1,Yes,No,34,No,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),64.2,2106.3,-0.017263222076479828,2.0650000000000004,false,False,true,False
2523-ewwzl,Female,0,Yes,No,27,No,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,2093.4,0.3777247618037171,2.5844444444444448,true,False,true,False
2525-gvkqu,Female,0,No,No,60,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.6,1093.0,-1.4644460873854375,0.6072222222222222,false,True,true,False
2528-hfyzx,Male,1,Yes,No,17,No,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,76.45,1233.4,0.3893420554472524,2.4184313725490196,true,False,true,True
2530-endwq,Female,0,Yes,No,71,Yes,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),93.7,6585.35,0.9619086707357736,3.0917136150234743,true,False,true,True
2530-fmfxo,Male,0,Yes,Yes,56,Yes,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,103.2,5873.75,1.277235212488872,3.496279761904762,true,False,true,False
2533-qvmsk,Male,0,Yes,No,61,Yes,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,94.1,5638.3,0.9751855777569561,3.0810382513661203,true,False,true,True
2533-tibix,Male,0,Yes,Yes,15,No phone service,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.2,469.65,-1.1458003188770431,1.0436666666666665,false,False,false,False
2535-pbcgc,Female,0,Yes,No,70,No phone service,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),64.55,4504.9,-0.005645928432945013,2.145190476190476,false,False,false,False
2538-oimxf,Female,0,No,Yes,1,No phone service,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.7,24.7,-1.3283577904183108,0.8233333333333334,false,False,false,False
2541-ygpke,Male,0,Yes,Yes,42,No,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),63.7,2763.35,-0.03385935585295864,2.1931349206349204,false,False,true,False
2542-hygiq,Female,0,No,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.95,19.95,-1.4860210612948601,0.6649999999999999,false,True,true,False
2545-ebupk,Female,1,No,No,2,Yes,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.05,186.05,0.6416032888497313,3.1008333333333336,true,False,true,False
2545-lxyvj,Male,0,Yes,No,72,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.7,1492.1,-1.4611268606301417,0.690787037037037,false,True,true,False
2546-kzaat,Male,0,Yes,No,52,No,Yes,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,75.4,3865.45,0.35449017451664705,2.477852564102564,false,False,true,False
2550-aevru,Female,0,Yes,Yes,57,No,Yes,Yes,No,No,No,No,One year,No,Electronic check,53.45,3053.0,-0.3740800982707756,1.7853801169590644,false,False,true,False
2550-qhzgp,Male,0,No,No,7,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.5,128.6,-1.500957581693691,0.6123809523809524,false,True,true,False
2550-zqzpp,Male,1,Yes,No,7,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.4,533.05,0.35449017451664705,2.538333333333333,true,False,true,False
2558-buozz,Male,0,No,No,47,Yes,Yes,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),94.8,4535.85,0.9984201650440266,3.2169148936170213,true,False,true,False
2560-ppche,Female,0,No,No,65,Yes,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),105.05,6744.25,1.3386409074618437,3.4585897435897435,true,False,true,False
2560-qtsbs,Female,0,Yes,Yes,72,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),23.3,1623.15,-1.3748269649924514,0.7514583333333333,false,True,true,False
2560-wbwxf,Male,0,No,No,68,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.15,1498.85,-1.3466135375724375,0.7347303921568628,false,True,true,False
2565-jslry,Male,0,No,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.05,24.05,-1.3499327643277332,0.8016666666666666,false,True,true,True
2568-brgyx,Male,0,No,No,4,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.2,237.95,0.1818903832412668,1.9829166666666667,true,False,true,True
2568-oiady,Female,0,Yes,No,37,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.5,3762.0,1.1544238225429286,3.389189189189189,true,False,true,True
2569-wgero,Female,0,No,No,72,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),21.15,1419.4,-1.4461903402313108,0.6571296296296296,false,True,true,False
2573-gyruu,Male,1,Yes,No,48,Yes,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),91.05,4370.75,0.8739491617204351,3.0352430555555556,true,False,true,False
2575-eamdv,Female,0,No,No,35,No,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.25,3532.0,1.1461257556546887,3.363809523809524,true,False,true,False
2575-gfsoe,Female,0,Yes,Yes,7,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.0,506.9,0.14205966217771704,2.413809523809524,true,False,true,True
2576-hxmpa,Female,0,No,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.55,19.55,-1.499297968316043,0.6516666666666667,false,True,true,False
2577-gvsil,Male,0,Yes,Yes,35,Yes,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),73.45,2661.1,0.28976525278837906,2.5343809523809524,false,False,true,False
2578-jqphz,Male,0,No,No,44,No,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),100.1,4378.35,1.1743391830747028,3.3169318181818186,true,False,true,False
2580-asvvy,Female,0,Yes,No,37,No phone service,Yes,No,No,Yes,Yes,No,Two year,No,Electronic check,45.4,1593.1,-0.6412778520720857,1.435225225225225,false,False,false,False
2580-atzsq,Female,0,Yes,Yes,65,No,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),61.35,3874.1,-0.11186118460240958,1.9867179487179487,false,False,true,False
2581-vkirt,Female,0,Yes,Yes,59,Yes,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,65.5,3801.3,0.02588672574236491,2.147627118644068,false,False,true,False
2582-fffzr,Female,0,No,No,22,No phone service,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.6,1073.3,-0.46867806079670515,1.6262121212121212,false,False,false,False
2585-ktfre,Male,0,No,Yes,1,No,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),70.45,70.45,0.19018845012950622,2.3483333333333336,false,False,true,False
2586-cwxvv,Male,0,Yes,No,54,No phone service,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.4,1621.35,-1.1391618653664517,1.0008333333333332,false,False,false,False
2587-ekxts,Male,0,No,No,44,Yes,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,111.5,4915.15,1.5527310331784214,3.7235984848484844,true,False,true,False
2587-ynles,Female,0,Yes,Yes,6,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.1,100.35,-1.4810422211619165,0.5575,false,True,true,False
2589-aycrp,Female,0,No,No,50,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.75,989.05,-1.4926595148054518,0.6593666666666667,false,True,true,False
2592-hodov,Male,0,No,No,13,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.3,259.65,-1.5075960352042825,0.6657692307692307,false,True,true,False
2592-seifq,Male,0,No,No,3,No phone service,No,No,No,No,No,No,Month-to-month,No,Electronic check,24.75,66.95,-1.326698177040663,0.7438888888888889,false,False,false,True
2592-ykdif,Female,0,No,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.35,20.35,-1.472744154273677,0.6783333333333333,false,True,true,False
2595-kiwpv,Male,0,No,Yes,27,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.7,509.3,-1.4943191281830994,0.6287654320987655,false,True,true,False
2599-cipqe,Male,0,Yes,Yes,71,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),109.3,7782.85,1.479708044561914,3.6539201877934273,true,False,true,False
2599-czabp,Male,0,Yes,No,14,No,No,No,No,No,No,No,One year,No,Electronic check,44.6,641.25,-0.6678316661144515,1.5267857142857142,false,False,true,False
2599-gtqwq,Male,1,No,No,39,Yes,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.65,3759.05,1.026633592464041,3.212863247863248,true,False,true,False
2603-hvkcg,Male,0,No,No,31,No,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.4,3143.65,1.2174891308935485,3.380268817204301,true,False,true,False
2604-ijpdu,Female,0,Yes,No,20,No,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,96.55,1901.65,1.056506633261703,3.1694166666666668,true,False,true,False
2604-xvdam,Female,0,No,No,12,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),43.8,540.95,-0.6943854801568179,1.502638888888889,false,False,true,False
2606-pkwjb,Male,0,No,Yes,40,No phone service,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,40.25,1564.05,-0.812218029969818,1.303375,false,False,false,False
2606-rmdhz,Male,0,No,No,6,No phone service,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),30.5,208.7,-1.135842638611156,1.1594444444444443,false,False,false,True
2607-dhdak,Male,0,Yes,Yes,72,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.8,1414.65,-1.4909999014278035,0.6549305555555556,false,True,true,False
2607-fbdff,Male,0,No,No,1,No,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),49.0,49.0,-0.5217856888814376,1.6333333333333333,false,False,true,False
2608-bhkfn,Female,0,No,No,4,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),70.05,266.9,0.1769115431083228,2.2241666666666666,true,False,true,True
2609-iaicy,Female,0,No,No,1,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.15,77.15,0.41257664273432293,2.5716666666666668,true,False,true,True
2612-phgox,Male,0,Yes,No,64,Yes,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),76.1,4818.8,0.3777247618037171,2.5097916666666666,false,False,true,False
2612-ranwt,Female,0,No,No,12,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.15,1164.3,1.1759987964523508,3.2341666666666664,true,False,true,True
2612-rridn,Male,0,No,No,4,No,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,81.0,340.85,0.5403668728132103,2.840416666666667,true,False,true,True
2615-yvmyx,Male,1,Yes,No,71,Yes,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,107.5,7713.55,1.4199619629665905,3.6213849765258215,true,False,true,False
2616-flvqc,Male,0,No,No,64,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.55,1240.15,-1.499297968316043,0.6459114583333334,false,True,true,False
2616-uutfk,Male,0,Yes,No,33,Yes,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),72.75,2447.45,0.26653066550130855,2.472171717171717,false,False,true,False
2619-wfqwu,Female,0,No,No,1,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.15,70.15,0.18023076986361866,2.3383333333333334,true,False,true,True
2621-udnlu,Female,0,Yes,No,3,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.85,72.0,-1.456148020497198,0.8,false,True,true,False
2623-dryam,Female,0,Yes,No,70,Yes,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,101.75,7069.3,1.2291064245370833,3.3663333333333334,true,False,true,False
2625-trczq,Female,0,Yes,No,51,No phone service,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,49.65,2553.35,-0.5002107149720151,1.6688562091503267,false,False,false,False
2626-urjfx,Male,0,Yes,Yes,4,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.9,225.6,-0.45872038053081804,1.88,false,False,true,True
2626-veewg,Male,0,Yes,Yes,67,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.4,1284.2,-1.504276808448987,0.638905472636816,false,True,true,False
2632-ivxvf,Female,0,Yes,Yes,68,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),111.75,7511.3,1.5610291000666607,3.6820098039215687,true,False,true,False
2632-tacxw,Female,0,Yes,No,62,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.65,1416.75,-1.3632096713489164,0.7616935483870968,false,True,true,False
2632-ucgvd,Male,1,Yes,No,66,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.05,6871.9,1.1726795696970551,3.4706565656565656,true,False,true,True
